Course ID,Course Title,Course Name,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
122277,AESTHINT 26,"Race, Gender, and Performance",001,General Education,"Bernstein,Robin",89,0,0,0,0,0,0,89
124661,AESTHINT 39,Chinese Stories,001,General Education,"Wang,David Der-Wei",40,0,1,1,1,0,0,43
125190,AESTHINT 54,For the Love of God and His,001,General Education,"Asani,Ali S.",18,0,0,0,0,0,0,18
122910,AFRAMER 10,Intro to African Amer Studies,001,African & African Amer Studies,"Gates Jr,Henry Louis",145,0,0,1,1,0,0,147
108879,AFRAMER 119X,"Chocolate, Culture, and Politi",001,African & African Amer Studies,"Martin,Carla Denny",20,2,0,1,0,0,0,23
156252,AFRAMER 122X,The Hist of African Americans,001,African & African Amer Studies,"Hinton,Elizabeth Kai",31,0,0,0,0,0,0,31
111438,AFRAMER 123Z,American Democracy,001,African & African Amer Studies,"West,Cornel",31,3,1,3,0,0,0,38
111780,AFRAMER 131,"AfrAm Lit, Beginning to Harlem",001,African & African Amer Studies,"Chavers,Linda",3,1,0,3,0,0,0,7
110293,AFRAMER 134X,Black Love & Politics of Resp,001,African & African Amer Studies,"Morgan,Marcyliena",13,0,0,3,0,0,0,16
126710,AFRAMER 142,Hiphop and Don't Stop,001,African & African Amer Studies,"Morgan,Marcyliena",36,1,0,0,0,0,0,37
160402,AFRAMER 158X,Educational Prog & Barriers,001,African & African Amer Studies,"Rivers,Jacqueline Olga cooke",7,0,0,4,0,0,0,11
117452,AFRAMER 179,"Jazz, Freedom, and Culture",001,African & African Amer Studies,"Monson,Ingrid",6,0,0,0,0,0,0,6
203080,AFRAMER 185X,What is Black Art?African Amer,001,African & African Amer Studies,"Lewis,Sarah Elizabeth",16,0,0,0,0,0,0,16
127960,AFRAMER 191X,African Am Lives in the Law,001,African & African Amer Studies,"Higginbotham,Evelyn Brooks",5,1,0,2,0,0,0,8
108694,AFRAMER 209B,Africa Rising? New African Eco,001,African & African Amer Studies,"Comaroff,Jean",25,6,0,1,0,0,0,32
110092,AFRAMER 212,Entrepreneurship in Africa,001,African & African Amer Studies,"Olupona,Jacob",32,1,0,3,0,0,0,36
116185,AFRAMER 302,Graduate Seminar,001,African & African Amer Studies,"Sidanius,James",0,5,0,0,0,0,0,5
206964,AFRAMER 303B,Crime and Policing,001,African & African Amer Studies,"Comaroff,Jean",0,10,0,0,0,0,0,10
115731,AFRAMER 310,Individual Reading Tutorial,011,African & African Amer Studies,"Frederick,Marla",0,1,0,0,0,0,0,1
