AFRAMER 20,118883,Friday,12/13/2019,09:00 AM,John Mugane,Northwest B-106
AFRIKAAN 101AR,205835,Tuesday,12/10/2019,02:00 PM,John Mugane,Emerson 104
AFRIKAAN AA,109427,Friday,12/13/2019,09:00 AM,John Mugane,Emerson 101
AFRIKAAN BA,205832,Tuesday,12/10/2019,02:00 PM,John Mugane,Northwest B-108
AMHARIC 101AR,205845,Tuesday,12/10/2019,02:00 PM,John Mugane,Northwest B-104
AMHARIC AA,126300,Friday,12/13/2019,09:00 AM,John Mugane,Boylston 104
AMHARIC BA,205853,Wednesday,12/18/2019,09:00 AM,John Mugane,Northwest B-109
ANTHRO 1190,125450,Thursday,12/19/2019,09:00 AM,Matt Liebmann,Emerson 305
ANTHRO 1255,212875,Wednesday,12/18/2019,02:00 PM,Christina Warinner,Emerson 101
APMTH 101,132127,Tuesday,12/17/2019,09:00 AM,Robert D. Howe,Pierce Hall 301
APMTH 22A,211334,Friday,12/13/2019,09:00 AM,Steven Gortler,Northwest B-101
APPHY 284,131392,Friday,12/13/2019,09:00 AM,David R. Nelson,Science Center E
ASTRON 1,113797,Thursday,12/12/2019,09:00 AM,David Charbonneau,"Yenching 18
(Auditorium)"
ASTRON 110,125881,Thursday,12/12/2019,09:00 AM,John Johnson,Science Center E
ASTRON 17,125884,Wednesday,12/18/2019,02:00 PM,Xingang Chen,Science Center A
ASTRON 2,111305,Tuesday,12/10/2019,09:00 AM,Philip Sadler,Emerson 106
ASTRON 200,124966,Saturday,12/14/2019,09:00 AM,Ramesh Narayan,Northwest B-108
BCS AA,110073,Wednesday,12/11/2019,02:00 PM,Tatiana Kuzmic,Boylston 103
BE 110,150189,Saturday,12/14/2019,09:00 AM,Maurice Smith,Emerson 101
CHEM 105,109454,Thursday,12/12/2019,09:00 AM,Eric Jacobsen,Emerson 305
CHEM 17,115137,Monday,12/16/2019,02:00 PM,Christina Woo,Science Center B
CHEM 30,118925,Tuesday,12/10/2019,09:00 AM,Andrew Myers,Northwest B-101
CHNSE 106A,110543,Wednesday,12/11/2019,09:00 AM,David Sena,Emerson 108
CHNSE 107A,112899,Wednesday,12/11/2019,02:00 PM,David Sena,Boylston 104
CHNSE 120A,113793,Monday,12/16/2019,09:00 AM,Bin Yang,Science Center C
CHNSE 130A,159629,Monday,12/16/2019,09:00 AM,Mo Zhang,"Yenching 18
(Auditorium)"
CHNSE 130XA,124235,Monday,12/16/2019,09:00 AM,Xueyin Shao,Emerson 210
CHNSE 140A,111129,Monday,12/16/2019,09:00 AM,Dan Wang,Northwest B-101
CHNSE 140XA,207494,Monday,12/16/2019,09:00 AM,Ya Ting Fan,Emerson 101
CHNSE BA,113873,Monday,12/16/2019,09:00 AM,Xiaoshi Yu,Science Center B
CHNSE BX,120305,Monday,12/16/2019,09:00 AM,Jie Ying,Science Center D
CLS-STDY 152,156310,Tuesday,12/10/2019,09:00 AM,Naomi Weiss,Northwest B-108
CLS-STDY 97A,116729,Tuesday,12/17/2019,09:00 AM,Paul Kosmin,Emerson 305
COMPSCI 121,119064,Tuesday,12/10/2019,09:00 AM,Boaz Barak,Science Center B
COMPSCI 153,131493,Thursday,12/19/2019,09:00 AM,Stephen Chong,"Yenching 18
(Auditorium)"
COMPSCI 263,160579,Thursday,12/12/2019,09:00 AM,James Mickens,Emerson 210
COMPSCI 61,123623,Thursday,12/12/2019,09:00 AM,Eddie Kohler,Science Center C
E-PSCI 142,205567,Saturday,12/14/2019,02:00 PM,Rebecca Fischer,Boylston 105
E-PSCI 187,117399,Saturday,12/14/2019,09:00 AM,Ann Pearson,Emerson 104
E-PSCI 287,119062,Thursday,12/12/2019,02:00 PM,Ann Pearson,Emerson 104
E-PSCI 56,108969,Wednesday,12/11/2019,02:00 PM,David Johnston,Northwest B-101
ECON 1010A,108901,Wednesday,12/18/2019,09:00 AM,Maxim Boycko,"Science Center B (A-M), C (N-Z)"
ECON 1010B,112062,Wednesday,12/18/2019,09:00 AM,Thomas Baranga,Emerson 210
ECON 1011A,120711,Thursday,12/19/2019,09:00 AM,Edward Glaeser,Science Center C
ECON 1057,203555,Thursday,12/19/2019,02:00 PM,Erez Yoeli,Emerson 305
ECON 1088,213522,Wednesday,12/11/2019,02:00 PM,Emily Breza,Emerson 210
ECON 10A,113326,Tuesday,12/17/2019,09:00 AM,Jason Furman,"Science Center B (A-H), C (I-O), D (P-S), A (T-W), E(X-Z)"
ECON 1123,123033,Wednesday,12/11/2019,09:00 AM,James H. Stock,Science Center C
ECON 1342,160351,Saturday,12/14/2019,09:00 AM,Melissa Dell,Lowell Lecture Hall
ECON 1410,117818,Wednesday,12/18/2019,02:00 PM,Stefanie Stantcheva,Northwest B-108
ECON 1420,123003,Thursday,12/19/2019,09:00 AM,Lawrence H. Summers,Science Center B
ECON 1436,211204,Tuesday,12/10/2019,09:00 AM,Benjamin Enke,"Geological Museum
Lecture Hall"
ECON 1530,111378,Saturday,12/14/2019,09:00 AM,Richard Cooper,Boylston 105
ECON 1640,116133,Thursday,12/19/2019,09:00 AM,Robin Lee,Emerson 210
ECON 1723,111105,Thursday,12/12/2019,02:00 PM,Xavier Gabaix,Science Center E
ECON 1776,125944,Wednesday,12/11/2019,09:00 AM,Benjamin Friedman,Northwest B-108
ECON 1936,107388,Saturday,12/14/2019,02:00 PM,Stephen Marglin,Emerson 101
ECON 2010A,124134,Tuesday,12/10/2019,09:00 AM,Edward Glaeser,Emerson 305
ECON 2060,110708,Wednesday,12/18/2019,09:00 AM,Oliver Hart,Northwest B-106
ECON 2110,120668,Friday,12/13/2019,09:00 AM,Gregory Bruich,Emerson 305
ECON 2450A,110660,Saturday,12/14/2019,09:00 AM,Stefanie Stantcheva,Emerson 305
ECON 2723,111998,Thursday,12/12/2019,09:00 AM,John Campbell,Northwest B-101
EGYPTIAN 150,127917,Saturday,12/14/2019,09:00 AM,Peter Manuelian,Northwest B-104
EGYPTIAN AA,126691,Thursday,12/12/2019,09:00 AM,Peter Manuelian,Boylston 105
ENG-SCI 125,144157,Monday,12/16/2019,02:00 PM,Boris Kozinsky,Science Center A
ENG-SCI 153,156518,Thursday,12/12/2019,09:00 AM,Thomas Hayes,Emerson 101
ENG-SCI 157,109358,Tuesday,12/10/2019,09:00 AM,Demba Ba,Boylston 105
ENG-SCI 181,135598,Tuesday,12/10/2019,09:00 AM,Zhigang Suo,Science Center E
ENG-SCI 51,148434,Wednesday,12/11/2019,02:00 PM,Michelle Rosen,Emerson 101
ENGLISH 102J,207605,Wednesday,12/11/2019,09:00 AM,Daniel Donoghue,Emerson 101
ENGLISH 146ET,212754,Thursday,12/12/2019,09:00 AM,James Engell,Northwest B-108
ENGLISH 170A,130260,Wednesday,12/11/2019,02:00 PM,Louis Menand,"Yenching 18
(Auditorium)"
GENED 1018,118517,Thursday,12/12/2019,09:00 AM,Charles Langmuir,Science Center A
GENED 1019,118290,Friday,12/13/2019,09:00 AM,Orlando Patterson,Emerson 105
GENED 1043,109501,Wednesday,12/18/2019,09:00 AM,Eric Rentschler,Emerson 105
GENED 1069,109861,Thursday,12/12/2019,09:00 AM,Courtney Lamberth,Emerson 105
GENED 1079,125932,Friday,12/13/2019,09:00 AM,David Cutler,"Yenching 18
(Auditorium)"
GENED 1105,112378,Wednesday,12/18/2019,09:00 AM,Rowan Flad,Science Center D
GENED 1116,108405,Tuesday,12/17/2019,02:00 PM,David Shumway Jones,Science Center C
GENED 1120,107821,Tuesday,12/10/2019,09:00 AM,Lawrence H. Summers,Emerson 105
GENED 1123,126908,Friday,12/13/2019,09:00 AM,Malika Zeghal,Science Center A
GENED 1129,110382,Saturday,12/14/2019,09:00 AM,Donald Goldmann,Northwest B-103
GENED 1131,212841,Saturday,12/14/2019,09:00 AM,Kathleen Coleman,Northwest B-101
GENED 1154,212847,Saturday,12/14/2019,09:00 AM,Jason Mitchell,"Emerson 105 (A-Q), 210 (R-Z)"
GERMAN 10A,113802,Monday,12/16/2019,09:00 AM,Lisa Parkes,Science Center A
GERMAN 10AB,124093,Monday,12/16/2019,09:00 AM,Lisa Parkes,Boylston 104
GERMAN 143,203214,Tuesday,12/10/2019,09:00 AM,Alison Frank Johnson,Emerson 108
GERMAN 61,122031,Tuesday,12/10/2019,09:00 AM,Peter Burgard,Emerson 104
GIKUYU AA,120934,Monday,12/16/2019,09:00 AM,John Mugane,Northwest B-107
GOV 1060,114754,Thursday,12/19/2019,09:00 AM,Harvey Mansfield,Science Center E
GOV 1074,156108,Wednesday,12/11/2019,02:00 PM,Eric Nelson,Science Center E
GOV 1243,111162,Thursday,12/19/2019,02:00 PM,Timothy Colton,Science Center D
GOV 1263,207164,Wednesday,12/11/2019,02:00 PM,Horacio Larreguy,Northwest B-108
GOV 1270,110842,Wednesday,12/18/2019,02:00 PM,Daniel Smith,Emerson 105
GOV 1368,121728,Tuesday,12/17/2019,02:00 PM,Paul Peterson,Emerson 305
GOV 1510,128024,Thursday,12/12/2019,02:00 PM,Richard Fallon,Science Center B
GOV 1734,160373,Saturday,12/14/2019,09:00 AM,Stephen Rosen,Emerson 108
GOV 1780,111906,Wednesday,12/18/2019,02:00 PM,Jeffry Frieden,Science Center D
GOV 20,117853,Tuesday,12/17/2019,02:00 PM,George Soroka,Science Center B
GOV 2005,110953,Wednesday,12/18/2019,02:00 PM,William Clark,Emerson 108
GOV 30,111813,Wednesday,12/18/2019,09:00 AM,Paul Peterson,"Yenching 18
(Auditorium)"
GREEK 1,203024,Monday,12/16/2019,09:00 AM,Ivy Livingston,Northwest B-104
GREEK 10,203230,Wednesday,12/11/2019,09:00 AM,Ivy Livingston,Boylston 104
GREEK 108,117421,Saturday,12/14/2019,09:00 AM,Gregory Mellen,Northwest B-105
GREEK 112A,112288,Tuesday,12/10/2019,09:00 AM,David Elmer,Boylston 104
GREEK 2X,203260,Monday,12/16/2019,09:00 AM,Ivy Livingston,Northwest B-110
GREEK 3,203229,Monday,12/16/2019,09:00 AM,Ivy Livingston,Northwest B-106
GULLAH AA,206597,Saturday,12/14/2019,02:00 PM,John Mugane,Emerson 108
HAITIAN 101AR,205856,Wednesday,12/11/2019,09:00 AM,John Mugane,Northwest B-104
HEB 1280,202992,Wednesday,12/11/2019,02:00 PM,Richard Wrangham,Northwest B-103
HIST 1002,212669,Wednesday,12/18/2019,02:00 PM,Lisa McGirr,"Yenching 18
(Auditorium)"
HIST 1004,207529,Saturday,12/14/2019,02:00 PM,Brandon Bloch,Science Center D
HIST 1023,142657,Tuesday,12/17/2019,09:00 AM,Andrew Gordon,Emerson 108
HIST 1024,125049,Wednesday,12/11/2019,02:00 PM,Maya Jasanoff,Emerson 105
HIST 1036,116237,Saturday,12/14/2019,09:00 AM,Sugata Bose,Emerson 106
HIST 1265,110285,Tuesday,12/10/2019,09:00 AM,Alison Frank Johnson,Emerson 108
HIST 1300,119533,Friday,12/13/2019,09:00 AM,James Hankins,Boylston 103
HIST 1330,111490,Thursday,12/19/2019,09:00 AM,James Kloppenberg,Emerson 101
HIST 1465,117932,Tuesday,12/10/2019,09:00 AM,Erez Manela,Emerson 210
HIST 1700,124404,Tuesday,12/17/2019,02:00 PM,"Emmanuel
Akyeampong",Emerson 101
